Title_ID,XMID,Full_Name,XBE_MD5
41540003,AT00301A,Pro Fishing Challenge,90657E9E320EC9176637D7B59A2282BB
4D530064,MS10003W,Halo 2,F87C933EC844F57AE9A9CEBEC7C31410
53570001,SW00101E,Enclave,F8CFF757EE3E992CDA1D0CFB11CA7595
41560050,AV08001W,SeaWorld Adventure Parks: Shamu's Deep Sea Adventures,AC694DD5379752D2716AF8F1B644805D
4D530015,MS02104A,Quantum Redshift,6296BFA70F0B1582D2BA549EA8F8614A
45410079,EA12102A,007: From Russia with Love,588CC20F2EDA2A8F0DF382B83FD42F28
4D57000D,MW01302E,Gravity Games Bike: Street. Vert. Dirt.,C370166CC491817BB7D731FB38C3B91B
4D53004A,MS07404A,Phantasy Star Online Episode I & II,A2100C6D5645AE62F621F5E273FCCCBB
5454000E,TT01405E,Grand Theft Auto III,5BE4648D0ED1B0A9719A81129F1D5B8E
45410011,EA01701A,Cel Damage,9813417EA9B8A5B180E2D3101AC5E20D
58490004,XI00401L,Black Stone: Magic & Steel,C131FF28AB2785ED436CE5C86CA1AF49
43430011,CC01701A,Mega Man Anniversary Collection,4C6E6B5C26444929FCB5395E445D4CED
54510109,TQ26501A,Disney/Pixar Ratatouille,720EA7F0A16B727CD98D717C6B87081A
534300FB,SC25101W,Just Cause,F6D32D9768AF8B91F28FF2745E03AA57
42530001,BS00101A,The Elder Scrolls III: Morrowind,48F2EA5B92E846B548CFB98FABFDD74A
4D570022,MW03401A,Gauntlet: Seven Sorrows,71C6383DF03F52A42E7BC314F51988BA
4541023B,EA57101K,Madden NFL 09,95B0EB7B189A2B3583658EFFEE406087
4553000A,ES01002A,TimeSplitters 2,FE04E4E1AC98AD0C304F8A23ABB4ACAD
41430007,AC00701A,Aggressive Inline,08EDD09F4834C32F99BADBFFC42A8BC7
4156004E,AV07802W,Doom 3: Resurrection of Evil,908EDF4B3F50F84DB2D231D459F900A6
4143000E,AC01402E,BMX XXX,394C228DBB0873AB638D061A155A4A94
49470018,IG02401E,JSRF: Jet Set Radio Future,96F6CDAE4A5F53B0B29598AD3C83938E
4D570032,MW05001A,"Ed, Edd n Eddy: The Mis-Edventures",100EA634A04DC0E51BA67AA3E93FDE49
54540083,TT13101A,Shattered Union,D6D1C88CB5BEB3F79D418174DCBEA7AC
49470012,IG01803A,Zapper,9881EDE9E7433A0A0040FA5EBEEC60BD
5553003B,US05901W,Prince of Persia: Warrior Within,32190BF112D1C51FDB093EEB85FB2CCF
4D530004,MS00403E,Halo: Combat Evolved,A3F43EA966047345D0D242EB63D604F2
45410012,EA01801A,Buffy the Vampire Slayer,55653C59A64388CFB0539F55E2C6EDC0
4D530064,MS10010W,Halo 2,5C9DF558F55D1E4B351911AE060B9A74
4947007B,IG12303E,Fahrenheit,654C700327515B004E24B7E6078D7BA0
55530008,US00801W,Far Cry Instincts,5C5074AC7D75B764393CF7AC4CB34169
584B000A,XK01005E,The Ultimate Selection,ABF68E1A7CE19F4FF526788B734A5539
45430004,EC00402E,Heroes of the Pacific,03D3B85CAB03C23D40CCC044B3D0CD7C
4B420007,KB00703A,Top Gear: RPM Tuning,E6C55648CE1D661CBD0E3FCC4D908A92
5454008A,TT13801A,Codename: Kids Next Door: Operation: V.I.D.E.O.G.A.M.E.,DBB5B827C6311E79EA2437EAACA27053
5553003F,US06302W,CSI: Crime Scene Investigation,85DB3B13B808C6967CABA0DAD190850F
545100EF,TQ23901W,Juiced,3F4399A5947E98B9681DDF4F08241A56
4E4D0001,NM00102A,Smashing Drive,662D139BDC14CF5995BB10BA7CFB165C
49470024,IG03605L,Unreal Championship,FBED1C0829691B9151EB429573F3A801
4D4A0012,MJ01801A,Psychonauts,41855BB2700B5A56C3D89F5CFF7877DF
4D4A0002,MJ00202A,Totaled!,CCF45CDBC10160DA8BCFFE31070D24D7
4E4D0009,NM00901E,Breakdown,A484BEC2B82FCB4CDB6B8E9CB08BC5ED
4B4E001E,KN03003A,Yu-Gi-Oh! The Dawn of Destiny,29BA2D6212FDC5810896D69C81DF47B6
434D0050,CM08004E,V8 Supercars Australia 3,672F369BBD989D76D90A7D72F0B1555E
54540015,TT02101L,Motocross Mania 3,D49556035984A9CFD4BAE6C57F42DC28
56550017,VU02302A,SeaBlade,A29EA18941B86413105EF84A1D23B96D
56430001,VC00101J,Muzzle Flash,D83C4169537F1272947815EB58D5F1A1
4D53006E,MS11001W,Forza Motorsport,F20E294C5DA2619F55E93C6080F2A3B7
54540019,TT02503A,Manhunt,CEE2271A50242C660D0DED4B00E19EFF
45410013,EA01901A,The Simpsons: Road Rage,A0F6DDDBEA7FEF5154DC844D4674E4B8
45410062,EA09801A,Battlefield 2: Modern Combat,CF3C5506CD7F04CA3BA99D76BB340318
5454008C,TT14001A,Zathura,E4A66D22E4A7F25B782B6B0A851FE2B7
56560021,VV03301E,BloodRayne,7F8A95AE8384923EECFA5E805D24D770
54510008,TQ00801A,MotoGP,9DB641BF896FC4F04E5E59E73D628D07
4756000A,GV01002W,WarPath,B73B1AE617B93D22AD2D18623288256C
534300FA,SC25001W,Hitman: Blood Money,DACF63C93740A5B21A62E2C4B1EA69DF
434D0011,CM01702A,TOCA Race Driver 2,02ADCDC3BB9D918D5F0762D99B72D568
5451001C,TQ02833E,Tetris Worlds,D968B33A275852DC9B7DC1E89908423C
4541005B,EA09102E,Burnout 3: Takedown,3019A18243B6C79519A504F8E2DF22A1
44430003,DC00304A,Painkiller: Hell Wars,C1594A5528CDF2A16424BE571249F95F
54510004,TQ00401A,Dark Summit,023CAFA4DFA946D6F5222D5A86AC91FB
49470034,IG05204E,V-Rally 3,52B83CE8BBF838159C421B92F7B5677B
4B4F0002,KO00203A,Crimson Sea,F4EA15E9AE313178A0B12BAEE44B94C7
56550042,VU06601W,50 Cent: Bulletproof,11818733452E3B981E4B9C28450237AD
4A410001,JA00101A,Pulse Racer,F2C83F9A6960FDAA46CD6D9EE8B717B0
54510018,TQ02401K,The Punisher,FC15D120ED3456BCA528C97FC5861746
4B420006,KB00601A,Yager ,F15DC3FC804F50BD6564C28195EEBD8F
4156005C,AV09201W,Marvel: Ultimate Alliance,315CBD8C7603FF32F80D6AFDBFA0D9D4
5454000F,TT01505E,Grand Theft Auto: Vice City,996C29A41EB99C7877565110BC635E9B
4D530002,MS00203E,Fuzion Frenzy,291555E91954C5051C948837D75F7F66
4D530051,MS08102A,Conker: Live & Reloaded,BEF7653560B9638667EA8F72ED63BFD4
4D530023,MS03502A,Sneakers,14D108BDD21368A38CDF8E4DC7F6063D
55530036,US05401W,187: Ride or Die,3765060CC9E9F2363E44D98D60F4444D
41560051,AV08101W,Call of Duty 2: Big Red One,96B46E06C8181E31800C97AA0C73A62F
49470004,IG00403A,TransWorld Snowboarding,27A1D4A0332F2A2104ED995367FD702B
45530009,ES00914E,Hitman 2: Silent Assassin,F18F50EE7B832488B51E972959C8422F
4E4D0013,NM01901A,SRS: Street Racing Syndicate,7DC49476BC24514DB7A18C67F66B6116
4D57002D,MW04501L,Midway Arcade Treasures 3,09235A714C2469DBD6C3738564AA6681
52440001,RD00102A,Yourself!Fitness,FE7DA66D339ADCA17396955EFF928C0D
4D53005A,MS09002E,Xbox Music Mixer ,952D7DCA5A914ED6BD6B03881BA9C8EA
544D0012,TM01801W,World Racing 2,419DB8087C0D870AFB2DC635299E2586
4D530003,MS00305E,Project Gotham Racing,FA70B435CE1104AE5E272D189FA11B96
4947007F,IG12703W,Driver: Parallel Lines,5ECE5783C8345248DB50BA8A658D19C9
4947003D,IG06101A,Trivial Pursuit: Unhinged,0DC24BDD3B08DBCEBB448F6820F66563
55530006,US00601A,Tom Clancy's Ghost Recon,13C74B967337D393B8500ED5A871968E
4D53002D,MS04501E,Dead or Alive 3,045481052505D9CC73F89D7D4CA41F3B
4B420005,KB00504A,Chicago Enforcer,979D3B46DA4D371544192C7CA6D5F191
4C410007,LA00702E,Indiana Jones and the Emperor's Tomb,38B6043A21D7A9EF40726403804BD127
41560049,AV07301W,Tony Hawk's American Wasteland,7267C67190F2078DB47557DBFD32C019
4947001B,IG02701A,Splashdown,38F188B85D3A24427F6D1E16BC781116
45410086,EA13402A,Fight Night Round 3,2627BD30D8F9399526E0CD40631A86C7
56550049,VU07301W,Bass Pro Shops: Trophy Bass 2007,E78D0A0F05C2A930F6D915D94FC56AFA
41560002,AV00203E,Kelly Slater's Pro Surfer,AFA7BECD84B56F174235BAE60E2BA864
54540004,TT00401A,Serious Sam,1D250F8D41736180C5979223D4D332B6
454D001E,EM03001E,Jacked,AA7E6F13AAA456F803C7C3EAC6CFE828
4D53000A,MS01001W,Sudeki,227B190DBD1F517B237591EF88217CDF
41590004,AY00401K,Dreamfall: The Longest Journey,A6C95A8D34726EA21929B51B77740ED6
4D53000C,MS01201J,Kakuto Chojin,2AA21F8C693BD00B237B3C226FDF73A7
4F580001,OX00102E,Conspiracy: Weapons of Mass Destruction,463793689AB898508F6AF63E2617DD8F
534E0004,SN00403W,Samurai Shodown V,6501C81C71B4EBF09043A051483587F1
54510089,TQ13703K,Hot Wheels: Stunt Track Challenge,FBA39421AE10260C85F4D1281F12F96A
54540001,TT00101A,4x4 Evo 2,98332FB86CE01370B242607322168672
4156002A,AV04201W,Call of Duty: Finest Hour,A6FFCB8503513094D57480362DEE49A4
41480002,AH00203A,Playboy: The Mansion,6DA8CB166895110EF39AE50C69614EA1
4D530010,MS01601A,Blood Wake,63877AABBA68101E122194A289A36E3F
4D570033,MW05101E,Gauntlet: Seven Sorrows,1EE547F0CB807F817770AEDC6CFDF8A0
43430008,CC00802A,Capcom vs. SNK 2 EO,610B6A32AD64943D3EECF4D609F08D8C
4D570005,MW00502E,Area 51,22F3A0E204C8B998EF8AEFBFDE08397E
53450088,SE13601W,OutRun 2006: Coast 2 Coast,E97913B618884F5B26A73A005E72320E
545100F5,TQ24502E,AFL Live Premiership Edition,2E0B7BF0BA953A911ECB1BF092F45FAF
4D530031,MS04904J,Kung Fu Panic,973C8736EFFDDB47D38AF7C5B4ABC0E2
54510007,TQ00701A,Toxic Grind,353BE97DB6942D6EC8352CF9614AA493
54510106,TQ26201W,Destroy All Humans! 2,0F2725F5E89184523F6D4A901632A0C0
45410028,EA04002A,Need for Speed: Hot Pursuit 2,5A61D2A58A9520757282A6F41569C5E3
4D530021,MS03303E,Crimson Skies: High Road to Revenge,B817F6EF34EE97134BA0E08C03ACE6BD
45530001,ES00102A,Mad Dash Racing,FF614676DC907DBD60E2CAA24FF3CBA9
4947000B,IG01102E,Furious Karting,C02ECBC8CE7FB0EE9E3F020620653EAF
4D530058,MS08801J,Halo: Jeonjaengui Seomak,FD7026E096E66EF5DC44F22561A79F4A
4947007D,IG12501W,Marc Ecko's Getting Up: Contents Under Pressure,C712AA68A1C8217E71D869393C8A5CB6
544D0002,TM00201A,Robotech: Battlecry,D947AFA881E084EE5F7C8255B754A2F1
42530011,BS01701A,IHRA Drag Racing: Sportsman Edition,E0001EC7F297A566EC9AA2C7E64FCDBA
4A410006,JA00601A,Room Zoom: Race for Impact,075D30EA8857EB7A62D449CE814CF145
56550026,VU03801K,The Chronicles of Riddick: Escape from Butcher Bay,B17E11CB89B52DB0D76018CE0D33C03B
4D530017,MS02301L,MechAssault,4BCD71FBDFD60C59A0F13DD1C842D327
54540010,TT01603L,Carve,7DD34B5C03B76D650102E93582F9BA9C
4D530005,MS00503E,Amped: Freestyle Snowboarding,FD39E26B316F1C449686BE576B998F28
54540011,TT01701A,Pure Pinball,48A6A4462DB63A7F595AAEDB07891834
434D0011,CM01705E,V8 Supercars Australia 2,0801ECDF32C01811CEFA714BF0768078
55530015,US02102E,The Elder Scrolls III: Morrowind,118AD1CF0E3CEBBEFBBAA313D68A6825
47450001,GE00101J,Zan Kabuki,0228FBFA5551D0415F6C5325FA1E0DF4
5345000B,SE01101A,Gun Valkyrie,279901E4F9DDE20986964BC97ED9E18D
45410091,EA14501W,Half-Life 2,7AD6AB34ADD9ED4BCB6AB830C803C3C9
4B420002,KB00203A,Egg Mania: Eggstreme Madness,A8348B980103540579B4890945EDE4EA
5655000E,VU01401A,Enclave,58E2BF02680B464283DE785FB4DBA2BC
41560042,AV06601W,Greg Hastings' Tournament Paintball,C7511FE9EC09828A8FFB7BA3C4FC0FEF
54510025,TQ03701K,Evil Dead: Regeneration,8353B67266754960E70F2590F450E7ED
4D57000E,MW01403A,Gauntlet: Dark Legacy,B57CD80DC90E0884BEB1C465A31A35E6
54540081,TT12901A,Charlie and the Chocolate Factory,BE0F24111F664C34BBD63DBD1F280EB5
43430001,CC00104A,Genma Onimusha,F51F90705E15CF1D43AD8C4C258259E5
4553001A,ES02609E,L'Entraîneur 5: Saison 04/05,A997EA4883A016BC26B63D9035FF56AA
4D49000B,MI01102A,Still Life,87925A4F45C86C2EB59760B09C16D4AF
53450087,SE13509A,Sonic Riders,82708CAF5FB1910C9CFC366C3EA0B0BC
5345003C,SE06002W,Sonic Mega Collection Plus,25A90BB64D6AC49539A1778D5081AA77
48500001,HP00101W,Stolen,232B80E4C09405F18C52E3556E30618F
54540006,TT00601A,State of Emergency,D520647A58605B9C5CC48995CA70ABFE
4541000B,EA01107A,2002 FIFA World Cup,FB55A3CA6C11498EA7A1BF5EA10A5873
45530018,ES02402K,25 to Life,F543CECE436441BBDB04E397314913AE
43430002,CC00201A,Steel Battalion,63F797B8CA211455B41F50841C657611
4D4A0009,MJ00901A,Advent Rising,1CD578695CBC46F6B4500C89322D8D5E
4B4E0002,KN00202A,AirForce Delta Storm,C8D878FC4BDAD378FEFA35538F336814
4D4A0014,MJ02001K,Aeon Flux,3F74FC7DE9E78AC241F339F9EDF4D536
4143000D,AC01301E,AFL Live 2003,30113D98619D406213FEF90A958D5B8A
54530002,TS00202E,Barbarian,4A52592D44557E4D386C465D880F31BD
4D570002,MW00201A,Arctic Thunder,ACAD59B116656868270D63523A3AF045
5A440004,ZD00401E,Alien Hominid,8FEAB956ECA9D56794B25CF0D10C5B3A
4D530039,MS05701W,RalliSport Challenge 2,C2FB6E94E29AF83252E1742EA9BBB973
56550013,VU01901A,Total Immersion Racing,F97C97D99DD2C2C1E98A1E37B168DDEF
53430010,SC01601W,Total Overdose,A8BBD6AC0CD08617B7DE13583C29B80A
4156005B,AV09101W,The Hustle: Detroit Streets,928EDB4B586AF7C46F08CA20D12EFD41
494C0006,IL00601J,Aoi Namida,9E903CA20DC0EB58B00B0653D66BBC91
49470015,IG02104A,Apex,FEBD62508A448595FD1BC2142D575C40
41430023,AC03501E,AFL Live Premiership Edition,0F3FF9F74F092ECDA03CB26A156ED19D
4D530004,MS00408J,Halo Movies,23B584B982FD74323AD21EB4F3F2F34F
4156003D,AV06101W,American Chopper,85977D6651FC43EFE7F23123B32697B6
544D0001,TM00101A,Shrek,631AABBC72623158FC9D1F1F544E11C1
55530043,US06703A,America's Army: Rise of a Soldier,3DF56E3C04599D56DB4D7C8350E0C47D
544D0004,TM00401A,Shrek Super Party,6786FBA665B53BA69A7073981B49E51A
49470079,IG12101W,Atari Anthology,5523E16DAE9829D39BD8F6951F1AE055
4D5300D3,MS21101A,Sneak King,BF6C09843B7D713AA41237D284D34715
41430002,AC00201A,All-Star Baseball 2003 featuring Derek Jeter,5DE01619CC7F0CB44AD7008C01F3DFC9
4156004F,AV07901W,American Chopper 2: Full Throttle,347C07515E0654609ECEDB230726F11E
42530014,BS02001A,AMF Xtreme Bowling,B0EFF8B4637255EAC5D358BE10862D44
4143000A,AC01001A,ATV: Quad Power Racing 2,07E0F2DA2516426D69B94B0086ED1FBA
56550009,VU00902A,Antz Extreme Racing,92CA6F8A40435C7929FD424464C350EF
454D0016,EM02201A,Bad Boys: Miami Takedown,DD32D1007FC9E2059AE19D90CB4F3F7E
4D5300D2,MS21001A,Big Bumpin',3CEAAB02A543B1DBEB10C9B4B55C365B
5655001A,VU02601A,Baldur's Gate: Dark Alliance,0E4237EC9FC5E115DC2F0D87C647E019
49470010,IG01602A,Battle Engine Aquila,8F2113E729EB599072B4D124A670A47A
454D0017,EM02302K,Big Mutha Truckers 2,992767BBE774729C77DFBE0AF876E88E
4D530007,MS00701A,Azurik: Rise of Perathia,AE67BD444260BE00BE48EE3567997BAA
45530016,ES02201K,Backyard Wrestling 2: There Goes the Neighborhood,00B38ED1B29804466478A5F4281D8B21
54540088,TT13601W,Army Men: Major Malfunction,ABA33B06A525F9D3BDE0B514F93A65DE
55530056,US08602W,AND 1 Streetball,BEF686279EB81C7D67ED987C18EFD11F
41560040,AV06401W,Bicycle Casino Includes: Texas Hold'em,6E6470DF174D05F5B88069DB15CDE6D8
